Predicted,Actual
161.55017,132.23
152.30588,167.66
173.08936,182.4
154.51666,131.88
158.04965,153.83
173.82262,166.65
166.30777,177.49
176.66872,179.21
170.96141,160.1
157.77115,146.87
171.81311,138.88
180.47855,196.94
164.88795,160.01
162.0351,129.93
179.21341,166.17
180.1984,141.11
174.94606,134.87
174.03905,186.88
158.17506,165.38
162.17308,167.23
181.74208,191.94
157.77338,171.1
181.09717,196.89
180.35727,218.8
178.30394,174.79
181.4951,179.8
168.92627,171.21
163.66109,185.04
159.87344,142.45
174.47716,154.65
170.95575,158.28
182.2511,169.67
172.36836,228.88
166.15097,169.0
181.88434,176.08
179.86322,185.56
151.38432,154.51
181.01936,179.66
161.1092,150.04
170.71933,175.04
171.60768,189.7
167.00879,172.07
157.33963,146.87
179.78079,169.3
163.80524,154.48
170.61502,146.87
178.96835,218.54
158.84341,181.99
181.74416,193.97
174.24966,152.59
180.7963,165.23
174.34924,195.1
173.08148,142.48
169.4754,161.51
159.68875,207.23
178.72223,178.85
181.58223,171.56
180.33475,175.43
170.8501,189.37
178.61646,155.31
179.4178,159.28
182.46365,181.56
161.23785,175.49
171.371,189.43
175.84299,213.07
159.80556,170.4
181.52498,207.15
181.4634,181.42
177.23802,186.28
161.04745,155.09
159.69153,165.33
182.15273,170.69
174.58038,189.77
157.46468,150.77
178.2678,187.68
181.82199,196.89
175.43152,188.61
166.82742,161.51
159.50302,157.65
154.85538,139.23
158.3528,152.95
161.66393,147.81
162.87613,176.3
153.07817,140.42
170.31459,187.0
181.67174,175.16
158.72992,166.02
172.53467,140.42
167.73248,168.49
167.60268,164.87
181.33746,171.1
181.72833,174.21
170.49078,160.8
181.0515,173.72
173.2258,182.32
178.09349,193.18
172.78322,179.8
162.39638,174.07
168.82187,183.96
176.47516,180.19
158.71483,129.61
151.11948,174.31
173.28271,183.63
180.06654,184.4
160.5755,175.01
161.45558,150.77
176.37454,169.12
158.80765,146.63
153.24625,144.8
172.94301,160.1
181.173,176.08
181.13353,184.15
175.56142,189.37
152.83482,165.75
179.62892,218.8
180.06067,182.32
181.72896,175.16
173.1882,176.3
178.3511,138.34
178.89354,173.97
170.48253,185.56
151.58977,137.13
170.81685,172.1
180.11382,230.54
169.22969,176.55
166.65227,177.57
181.13994,152.55
166.3425,173.0
176.03543,130.03
164.19098,142.45
164.32391,172.4
162.77754,165.56
161.94797,195.89
165.17104,181.42
150.894,167.66
152.06538,175.6
154.86182,166.13
177.28387,168.41
180.81752,163.62
159.66052,143.75
175.10681,234.82
179.06616,209.82
180.56561,196.45
168.80005,188.01
170.60936,189.41
166.58478,173.23
